id,postcode,latitude,longitude,
142,AB21,9HA,57.18133895,-2.187415
143,AB21,9HB,57.17998167,-2.182016098
144,AB21,9HE,57.17976508,-2.169923662
145,AB21,9HH,57.17948533,-2.170369
146,AB21,9HJ,57.18665703,-2.181321034
147,AB21,9HN,57.18803294,-2.180268932
148,AB21,9HQ,57.183863,-2.181175
149,AB21,9HR,57.184196,-2.180763
150,AB21,9HS,57.18670953,-2.182280841
151,AB21,9HT,57.18565976,-2.181431946
152,AB21,9HU,57.18860644,-2.181247873
153,AB21,9HW,57.18822243,-2.179674249
154,AB21,9HX,57.18805643,-2.17653
155,AB21,9HY,57.18963254,-2.179830011
156,AB21,9HZ,57.18701758,-2.180462509
157,AB21,9JB,57.18996383,-2.180576167
158,AB21,9JD,57.190324,-2.179567995
159,AB21,9JE,57.19068017,-2.182168058
160,AB21,9JH,57.19089426,-2.183194956
161,AB21,9JJ,57.191223,-2.186158
162,AB21,9JL,57.19092559,-2.186322277
163,AB21,9JP,57.190004,-2.183986333
164,AB21,9JQ,57.18997006,-2.182478921
165,AB21,9JR,57.18968951,-2.184744
166,AB21,9JS,57.19185892,-2.180800528
167,AB21,9JT,57.19096554,-2.177007
168,AB21,9JU,57.19209418,-2.179610341
169,AB21,9JX,57.1938524,-2.181306697
170,AB21,9JY,57.19136462,-2.180963571
171,AB21,9LA,57.190951,-2.175038
172,AB21,9LB,57.17748483,-2.168871172
173,AB21,9LD,57.17704491,-2.168687227
174,AB21,9LE,57.17755312,-2.171501324
175,AB21,9LF,57.17318065,-2.156034632
176,AB21,9LG,57.17497928,-2.168347029
177,AB21,9LJ,57.17679912,-2.171084338
178,AB21,9LL,57.17723881,-2.171433707
179,AB21,9LN,57.17790107,-2.173239641
180,AB21,9LP,57.17647219,-2.167047215
181,AB21,9LQ,57.1770927,-2.166289
182,AB21,9LR,57.17683432,-2.164931789
183,AB21,9LS,57.1764492,-2.164053484
184,AB21,9LT,57.17529817,-2.164974553
185,AB21,9LU,57.176151,-2.164863
186,AB21,9LW,57.17498494,-2.164080065
187,AB21,9LX,57.175291,-2.163056
188,AB21,9LZ,57.17920705,-2.177198966
189,AB21,9NA,57.1755707,-2.162643772
190,AB21,9NB,57.173947,-2.160685
191,AB21,9ND,57.17367479,-2.155970565
192,AB21,9NL,57.17362402,-2.153308
193,AB21,9NN,57.17343843,-2.150925469
194,AB21,9NP,57.176529,-2.157653
196,AB21,9NS,57.17568158,-2.153068162
197,AB21,9NT,57.178448,-2.160026
198,AB21,9NU,57.17916414,-2.169242736
199,AB21,9NX,57.178122,-2.162324
200,AB21,9NY,57.1761219,-2.15995
201,AB21,9PA,57.17932894,-2.166927798
202,AB21,9PB,57.17848224,-2.168644164
203,AB21,9PD,57.17505314,-2.173474379
204,AB21,0TG,57.19169523,-2.287688298
205,AB21,0TH,57.19400333,-2.27997868
206,AB21,0TJ,57.2019023,-2.278664796
207,AB21,0TL,57.197769,-2.278898
208,AB21,0TN,57.18741832,-2.276140172
209,AB21,0TP,57.18699492,-2.288644382
210,AB21,0TQ,57.182373,-2.294581507
211,AB21,0TR,57.178136,-2.300716
212,AB21,0TS,57.1846082,-2.303068
213,AB21,0TT,57.19090046,-2.257899
214,AB21,0TU,57.196678,-2.242318
215,AB21,0TW,57.20754433,-2.286321875
216,AB21,0TX,57.19791491,-2.2657596
217,AB21,0TY,57.19961469,-2.264811934
218,AB21,0TZ,57.18946005,-2.274964162
219,AB21,0UA,57.26378399,-2.187685168
220,AB21,0UB,57.21548974,-2.195006101
221,AB21,0UD,57.27307547,-2.185527002
222,AB21,0UE,57.2632708,-2.155969
223,AB21,0UF,57.2670021,-2.173641764
224,AB21,0UG,57.24394718,-2.184154
226,AB21,0UL,57.271847,-2.170829
227,AB21,0UN,57.28477643,-2.155130503
228,AB21,0UP,57.28412848,-2.169923947
229,AB21,0UQ,57.2662304,-2.179440986
230,AB21,0UR,57.261788,-2.182536
231,AB21,0US,57.25040342,-2.17885021
232,AB21,0UT,57.23788008,-2.179684101
233,AB21,0UU,57.26319941,-2.188146382
234,AB21,0UW,57.2630805,-2.183520461
235,AB21,0UX,57.31018894,-2.258685064
236,AB21,0UY,57.26416285,-2.186626062
237,AB21,0UZ,57.2632368,-2.187168456
238,AB21,0WA,57.20619042,-2.289141902
239,AB21,0WB,57.2649617,-2.187044583
240,AB21,0WF,57.264052,-2.182315
241,AB21,0WG,57.26563892,-2.184677176
242,AB21,0WH,57.20285428,-2.286732425
243,AB21,0WJ,57.26704519,-2.193322387
244,AB21,0WL,57.26606643,-2.193085139
245,AB21,0WN,57.26636987,-2.194048
246,AB21,0WP,57.26665102,-2.192623968
247,AB21,0WQ,57.26777407,-2.192497195
249,AB21,0WW,57.26694751,-2.186640165
251,AB21,0WZ,57.27040715,-2.191781366
252,AB21,0XA,57.20344411,-2.284121864
253,AB21,0XB,57.20408923,-2.284855102
254,AB21,0XD,57.20339966,-2.287862156
255,AB21,0XF,57.26262988,-2.184529474
256,AB21,0XG,57.26350079,-2.184815667
257,AB21,0XN,57.20236625,-2.2836
258,AB21,0XP,57.20167577,-2.283545546
259,AB21,0XQ,57.20749692,-2.287414027
260,AB21,0XR,57.20803691,-2.286971281
261,AB21,0XS,57.20759747,-2.286653354
262,AB21,0XT,57.20713613,-2.288056794
263,AB21,0XU,57.20690977,-2.288833023
264,AB21,0XW,57.20592318,-2.288163207
265,AB21,0XX,57.20522416,-2.287446008
266,AB21,0XY,57.23748289,-2.262399767
267,AB21,0XZ,57.26329729,-2.182692626
268,AB21,0YA,57.23766981,-2.267470542
269,AB21,0YB,57.23689375,-2.264897115
270,AB21,0YD,57.240101,-2.277313
271,AB21,0YE,57.23582968,-2.2668277
272,AB21,0YF,57.23726236,-2.264750661
273,AB21,0YG,57.23768231,-2.26581395
274,AB21,0YL,57.238205,-2.285599
275,AB21,0YN,57.20232456,-2.286612458
276,AB21,0YP,57.20239098,-2.285057176
277,AB21,0YQ,57.248493,-2.263539
278,AB21,0YR,57.2543685,-2.267028
279,AB21,0YS,57.258119,-2.282123
280,AB21,0YT,57.26366187,-2.273710214
281,AB21,0YX,57.2746572,-2.277672388
283,AB21,0ZR,57.20511732,-2.294777824
284,AB21,0ZS,57.204815,-2.2931521
285,AB21,0ZT,57.20425179,-2.292073
287,AB21,7AA,57.20958,-2.188584334
288,AB21,7AB,57.21153045,-2.187684408
289,AB21,7AD,57.20968008,-2.187608788
290,AB21,7AE,57.211316,-2.186806
291,AB21,7AF,57.212604,-2.190223
292,AB21,7AG,57.21200391,-2.189441674
293,AB21,7AH,57.215315,-2.185419
294,AB21,7AJ,57.21971108,-2.183520076
295,AB21,7AL,57.22016593,-2.173189563
296,AB21,7AN,57.20842543,-2.166413709
297,AB21,7AP,57.20679632,-2.15488552
298,AB21,7AQ,57.21578241,-2.144724135
299,AB21,7AR,57.20735097,-2.133451472
300,AB21,7AS,57.23214286,-2.142485884
301,AB21,7AT,57.22258065,-2.153809121
302,AB21,7AU,57.20503389,-2.188942467
303,AB21,7AX,57.205005,-2.189803
304,AB21,7AY,57.20513924,-2.190747
305,AB21,7AZ,57.19985591,-2.185473619
306,AB21,7BA,57.205965,-2.190666661
307,AB21,7BB,57.20624257,-2.185621556
308,AB21,7BD,57.20585564,-2.185752
309,AB21,7BE,57.20683064,-2.188835787
310,AB21,7BG,57.20674757,-2.190308574
311,AB21,7BH,57.20655364,-2.187857754
312,AB21,7BJ,57.20678431,-2.189779068
313,AB21,7BL,57.20743493,-2.18721666
314,AB21,7BN,57.20678078,-2.186137402
315,AB21,7BP,57.20749998,-2.185760302
316,AB21,7BQ,57.20785747,-2.186987053
317,AB21,7BR,57.20866588,-2.187024254
318,AB21,7BS,57.20818533,-2.183959409
319,AB21,7BT,57.20791575,-2.18402428
320,AB21,7BU,57.20765525,-2.184022983
321,AB21,7BW,57.2117153,-2.190433
322,AB21,7BX,57.20728872,-2.182812775
323,AB21,7BY,57.20685533,-2.184316951
324,AB21,7DA,57.20962857,-2.186002767
325,AB21,7DB,57.21061874,-2.184617162
326,AB21,7DD,57.21160615,-2.185102197
327,AB21,7DE,57.21130918,-2.185464918
328,AB21,7DG,57.2093943,-2.180340081
329,AB21,7DH,57.21076878,-2.186422378
330,AB21,7DJ,57.21009485,-2.186567966
331,AB21,7DL,57.20859099,-2.189043433
332,AB21,7DN,57.20816096,-2.188279768
333,AB21,7DQ,57.2063245,-2.19088574
334,AB21,7DR,57.20441734,-2.192696593
335,AB21,7DS,57.20402005,-2.194018657
336,AB21,7DT,57.20272024,-2.192257411
337,AB21,7DU,57.2004928,-2.203433712
338,AB21,7DW,57.20090007,-2.190046748
339,AB21,7DX,57.20268031,-2.188980083
340,AB21,7DY,57.20241186,-2.188283569
341,AB21,7DZ,57.19605657,-2.178984224
343,AB21,7EB,57.20237727,-2.18738964
344,AB21,7ED,57.20277797,-2.189741936
345,AB21,7EE,57.203588,-2.18850533
346,AB21,7EG,57.20513332,-2.194421757
347,AB21,7EH,57.20392158,-2.187894023
348,AB21,7EJ,57.2039536,-2.1904928
349,AB21,7EL,57.20441554,-2.187962743
350,AB21,7EN,57.20371641,-2.186932989
351,AB21,7EP,57.20535929,-2.187603395
352,AB21,7EQ,57.2123163,-2.190767711
353,AB21,7ER,57.21106901,-2.18988386
354,AB21,7ES,57.20983926,-2.189281582
355,AB21,7ET,57.21036912,-2.189367071
356,AB21,7EU,57.20047371,-2.192775325
357,AB21,7EW,57.20520868,-2.186195689
358,AB21,7EX,57.21236412,-2.188847526
359,AB21,7EY,57.213773,-2.189798
360,AB21,7EZ,57.19799527,-2.186391
361,AB21,7FA,57.20434791,-2.18511548
362,AB21,7FB,57.20505639,-2.185913535
363,AB21,7FD,57.20515871,-2.18353053
364,AB21,7FE,57.20375475,-2.185311127
365,AB21,7FF,57.20313598,-2.184596316
366,AB21,7FG,57.20264251,-2.184196624
367,AB21,7FH,57.20367815,-2.18241422
368,AB21,7FJ,57.20346477,-2.180890432
369,AB21,7FL,57.20030329,-2.186667468
370,AB21,7FN,57.20114817,-2.186340729
371,AB21,7FP,57.20101304,-2.180464668
372,AB21,7FQ,57.20142091,-2.184140882
373,AB21,7FR,57.20190888,-2.182157222
374,AB21,7FS,57.20211066,-2.179278369
375,AB21,7FT,57.2029472,-2.17848797
376,AB21,7FU,57.20300358,-2.17673381
377,AB21,7FW,57.20217848,-2.175786462
378,AB21,7FX,57.20231106,-2.183566036
379,AB21,7FY,57.20128945,-2.18188936
380,AB21,7FZ,57.20260135,-2.175308494
381,AB21,7GA,57.1969444,-2.186170592
382,AB21,7GB,57.195444,-2.18608
383,AB21,7GD,57.19756962,-2.188573321
384,AB21,7GF,57.192815,-2.184247
385,AB21,7GH,57.213452,-2.187892117
386,AB21,7GJ,57.21249968,-2.188301888
387,AB21,7GL,57.20591075,-2.191231205
388,AB21,7GN,57.19618688,-2.18206282
389,AB21,7GQ,57.19872351,-2.191806332
390,AB21,7HF,57.21105203,-2.183179056
391,AB21,7HG,57.198686,-2.180387
392,AB21,7JJ,57.20868757,-2.178300513
393,AB21,7JL,57.20898166,-2.179940771
394,AB21,7JN,57.20742841,-2.179386947
395,AB21,7JP,57.20765915,-2.181341362
396,AB21,7JQ,57.20742524,-2.181588512
397,AB21,7JR,57.2071466,-2.181703013
398,AB21,7JS,57.2069129,-2.181801182
399,AB21,7JT,57.20664327,-2.181899172
400,AB21,7JU,57.2077684,-2.180332142
401,AB21,7JW,57.20824369,-2.180897284
402,AB21,7JX,57.20819956,-2.1803508
403,AB21,7JY,57.20800487,-2.178297217
404,AB21,7JZ,57.20859673,-2.179011886
405,AB21,7LA,57.21099292,-2.180579655
406,AB21,7LB,57.21015159,-2.178440017
407,AB21,9PE,57.17818503,-2.169221714
408,BB1,3HJ,53.75332986,-2.450445251
409,BB1,3HL,53.75002441,-2.456991317
410,BB1,3HN,53.75170996,-2.453369966
411,BB1,3HP,53.756595,-2.45004
412,BB1,3HQ,53.74977988,-2.459824431
413,BB1,3HR,53.75395092,-2.445401611
414,BB1,3HT,53.758904,-2.447957
415,BB1,3HU,53.75501367,-2.450554
416,BB1,3HW,53.75242068,-2.44841851
417,BB1,3HY,53.751346,-2.445178311
418,BB1,3JA,53.75235279,-2.444929732
419,BB1,3JB,53.75161253,-2.445801486
420,BB1,3JD,53.749095,-2.443834919
421,BB1,3JL,53.74959825,-2.455606723
422,BB1,3JP,53.74860947,-2.453260746
423,BB1,3JR,53.74878797,-2.451215504
424,BB1,3JS,53.74897969,-2.452809805
425,BB1,3JT,53.75004871,-2.452957789
426,BB1,3JU,53.75022635,-2.451261
427,BB1,3JW,53.7491,-2.454585
428,BB1,3JX,53.75094463,-2.451344782
429,BB1,3JY,53.74913406,-2.450006071
430,BB1,3JZ,53.74980842,-2.447541461
431,BB1,3LA,53.74821611,-2.447918792
432,BB1,3LB,53.74910731,-2.44754917
433,BB1,3LD,53.75124974,-2.446677216
434,BB1,3LE,53.75209638,-2.448612204
435,BB1,3LF,53.75156752,-2.448227437
436,BB1,3LG,53.7514765,-2.450925863
437,BB1,3LH,53.74938987,-2.448901806
438,BB1,3LJ,53.74810133,-2.44976757
439,BB1,3LL,53.74918011,-2.452099239
440,BB1,3LN,53.74987159,-2.452258313
441,BB1,3LP,53.7463168,-2.438967408
442,BB1,3LQ,53.75063786,-2.449263909
443,BB1,3LR,53.74691338,-2.438048656
444,BB1,3LS,53.74981648,-2.43312007
445,BB1,3LU,53.74904074,-2.433885464
446,BB1,3LW,53.74597682,-2.438539293
447,BB1,3LX,53.74782106,-2.435616729
448,BB1,3LY,53.74885452,-2.433185991
449,BB1,3LZ,53.7485948,-2.432925529
450,BB1,3NA,53.74785916,-2.435025734
451,BB1,3NB,53.74791952,-2.433252187
452,BB1,3ND,53.74757798,-2.433248671
453,BB1,3NG,53.74698512,-2.433151587
454,BB1,3NH,53.74755478,-2.437160672
455,BB1,3NJ,53.74853539,-2.436913069
456,BB1,3NN,53.74831003,-2.441990668
457,BB1,3NP,53.74994474,-2.442295964
458,BB1,3NQ,53.74809227,-2.4375
459,BB1,3NR,53.75008513,-2.443434
460,BB1,3NS,53.74902698,-2.442559275
461,BB1,3NT,53.75957242,-2.449162131
462,BB1,3NU,53.762635,-2.45015
463,BB1,3NW,53.74932024,-2.441030758
464,BB1,3NY,53.74791815,-2.441016066
465,BB1,3WW,53.74293091,-2.484903506
467,BB1,4AA,53.770548,-2.460962
468,BB1,4AB,53.774784,-2.448308
469,BB1,4AD,53.78120782,-2.446464333
470,BB1,4AE,53.78763004,-2.452391333
471,BB1,4AF,53.78505623,-2.464975928
472,BB1,4AG,53.782237,-2.464444
473,BB1,4AH,53.77843714,-2.427390468
474,BB1,4AJ,53.77720289,-2.418015316
475,BB1,4AL,53.773361,-2.424426
476,BB1,4AN,53.775899,-2.408018
477,BB1,4AP,53.772233,-2.438282
478,BB1,4AQ,53.77636683,-2.462118136
479,BB1,4AR,53.76098682,-2.426121019
480,BB1,4AS,53.756252,-2.425755
481,BB1,4AT,53.766156,-2.443543
482,BB1,4AU,53.75791867,-2.441894429
483,BB1,4AW,53.76301062,-2.423168341
485,BB1,4BH,53.76457847,-2.427128275
486,BB1,4BJ,53.76553128,-2.427107611
487,BB1,4BL,53.76547446,-2.425392805
488,BB1,4BN,53.76561411,-2.426562324
489,BB1,4BP,53.76635181,-2.42637259
490,BB1,4BQ,53.765161,-2.427876143
491,BB1,4BS,53.76651975,-2.422096198
492,BB1,4BW,53.76595894,-2.42564043
493,BB1,4BX,53.76695485,-2.423602464
494,BB1,4BY,53.7666468,-2.424297209
495,BB1,4BZ,53.76733308,-2.420709
496,BB1,4DA,53.76800529,-2.421382896
497,BB1,4DB,53.76765895,-2.422744811
498,BB1,4DD,53.76796913,-2.418879307
499,BB1,4DG,53.76817585,-2.418881366
500,BB1,4DH,53.76927246,-2.418861946
501,BB1,4DJ,53.76965096,-2.418577454
502,BB1,4DL,53.76900125,-2.416735243
503,BB1,4DR,53.76915398,-2.419331082
504,BB1,4DS,53.76929704,-2.41954491
505,BB1,4DT,53.7699674,-2.420613623
506,BB1,4DU,53.76988036,-2.417229451
507,BB1,4DW,53.76920776,-2.416797976
508,BB1,4DX,53.77043602,-2.417690123
509,BB1,4DY,53.77065822,-2.418405416
510,BB1,4DZ,53.770921,-2.420365236
511,BB1,4EA,53.77081958,-2.421092482
512,BB1,4EB,53.77131964,-2.422022999
513,BB1,4ED,53.77085563,-2.418498413
514,BB1,4EE,53.7708439,-2.416707988
515,BB1,4EF,53.76917434,-2.416069412
516,BB1,4EG,53.76809667,-2.423507767
517,BB1,4EH,53.76625441,-2.428480295
518,BB1,4EJ,53.76697137,-2.426545749
519,BB1,4EL,53.76869676,-2.421556709
520,BB1,4EN,53.76758669,-2.425383827
521,BB1,4EP,53.76828796,-2.420232718
522,BB1,4ER,53.76212489,-2.432093951
523,BB1,4ES,53.76468982,-2.421061451
524,BB1,4ET,53.76372296,-2.432595793
525,BB1,4EU,53.76485565,-2.425007297
526,BB1,4EX,53.76372879,-2.425951592
527,BB1,4EY,53.76427043,-2.425289609
528,BB1,4EZ,53.76471717,-2.423625
530,BB1,4HA,53.76476585,-2.422442674
531,BB1,4HB,53.76637432,-2.42000121
532,BB1,4HD,53.76675233,-2.419853279
533,BB1,4HF,53.765981,-2.419619988
534,BB1,4HG,53.76288579,-2.415172898
535,BB1,4HH,53.76430551,-2.417871957
536,BB1,4HJ,53.76421918,-2.416854728
537,BB1,4HL,53.76501629,-2.417666639
538,BB1,4HN,53.7642318,-2.415808143
539,BB1,4HP,53.76506577,-2.418941412
540,BB1,4HQ,53.76483198,-2.418969423
541,BB1,4HR,53.76592368,-2.417781842
542,BB1,4HS,53.76643942,-2.416800881
543,BB1,4HT,53.76667839,-2.417865192
544,BB1,4HU,53.76687554,-2.418034028
545,BB1,4HW,53.76555153,-2.416245955
546,BB1,4HX,53.76762649,-2.416615424
547,BB1,4HY,53.76758901,-2.417055009
548,BB1,4HZ,53.76721374,-2.416414115
549,BB1,4JA,53.76678343,-2.416091271
550,BB1,4JB,53.76731687,-2.415186299
551,BB1,4JD,53.7660714,-2.414066566
552,BB1,4JE,53.76691557,-2.414272096
553,BB1,4JF,53.76693669,-2.413362062
554,BB1,4JG,53.76739092,-2.414565025
555,BB1,4JH,53.76780808,-2.413491995
556,BB1,4JJ,53.76726297,-2.412576387
557,BB1,4JN,53.76794614,-2.412552747
558,BB1,4JQ,53.76782171,-2.414751323
559,BB1,4JR,53.7675928,-2.413368511
560,BB1,4JS,53.76628851,-2.411049782
561,BB1,4JT,53.76368623,-2.415029104
562,BB1,4JU,53.76362494,-2.414558245
563,BB1,4JW,53.76722952,-2.411847861
564,BB1,4JX,53.76448167,-2.413732349
565,BB1,4JY,53.764836,-2.412795
566,BB1,4JZ,53.7682026,-2.413768955
567,BB1,4LA,53.76844375,-2.414211293
568,BB1,4LB,53.77289716,-2.415560027
569,BB1,4LD,53.76793853,-2.417346726
570,BB1,4LJ,53.76872684,-2.415518817
571,BB1,4LL,53.76986419,-2.414119082
572,BB1,4LN,53.76936024,-2.414296178
573,BB1,4LP,53.771337,-2.41471
574,BB1,4LQ,53.76819711,-2.417940967
575,BB1,4LR,53.771196,-2.413811807
576,BB1,4LS,53.77114602,-2.4151179
577,BB1,4LT,53.77130759,-2.415180184
578,BB1,4LU,53.77134144,-2.415787409
579,BB1,4LW,53.76982698,-2.414482837
580,BB1,4LX,53.77177459,-2.415291002
581,BB1,4LY,53.77214077,-2.415962211
582,BB1,4NA,53.77065091,-2.415340592
583,BB1,4NB,53.76953816,-2.414828938
584,BB1,4ND,53.76929114,-2.408363
585,BB1,4NF,53.77039929,-2.402153694
586,BB1,4NG,53.76916375,-2.406056122
587,BB1,4NL,53.76882909,-2.409314735
588,BB1,4NN,53.76890301,-2.40872377
589,BB1,4NP,53.76834303,-2.409522401
590,BB1,4NQ,53.77071709,-2.411790985
591,BB1,4NR,53.76810965,-2.409429102
592,BB1,4NS,53.76795972,-2.411217827
593,BB1,4NT,53.77036964,-2.410892439
594,BB1,4NW,53.7680815,-2.409777763
595,BB1,4NX,53.77047473,-2.41169758
596,BB1,4NY,53.7709609,-2.411459586
597,BB1,4NZ,53.76989962,-2.409036892
598,BB1,4PA,53.77132615,-2.407154235
599,BB1,4PB,53.769438,-2.407728
600,BB1,4PD,53.76942322,-2.40904743
601,BB1,4PE,53.76930534,-2.409349714
602,BB1,4PF,53.76855714,-2.407354994
603,BB1,4PG,53.76994069,-2.407535286
604,BB1,4PH,53.76400303,-2.419552782
606,BB1,4RA,53.7645973,-2.411473179
607,BB1,4RB,53.76406959,-2.413333885
608,BB1,4RD,53.76576806,-2.410801971
609,BB1,4RE,53.76499802,-2.415163408
610,AB23,8AA,57.18505346,-2.096247971
611,AB23,8AB,57.24952836,-2.060272722
612,AB23,8AD,57.25176506,-2.060326108
613,AB23,8AE,57.19078145,-2.100250435
614,AB23,8AG,57.19305559,-2.098419919
615,AB23,8AH,57.19080053,-2.098844096
616,AB23,8AJ,57.18657847,-2.086821934
617,AB23,8AP,57.19940599,-2.09909884
618,AB23,8AQ,57.185751,-2.088342
619,AB23,8AR,57.21793017,-2.070536553
620,AB23,8AT,57.17971735,-2.084093104
621,AB23,8AU,57.19140437,-2.096297623
622,AB23,8AW,57.19232979,-2.096068387
623,AB23,8AX,57.19496195,-2.083317017
624,AB23,8AZ,57.19619105,-2.085636538
625,AB23,8BA,57.19037631,-2.089593981
626,AB23,8BB,57.1925496,-2.090410039
627,AB23,8BD,57.201021,-2.089372
628,AB23,8BE,57.21730063,-2.071826843
629,AB23,8BJ,57.20550303,-2.102061535
